өңір,өңір_код,температура,тұздылық,pH,кіру_қысымы,су_деңгейі,шығыс_қысымы_болжам
Атырау,4,17.067537122027908,3280.4491518080376,8.116100729812972,3.3646044071913375,91.11856658825333,6.863051749304845
Атырау,4,20.9084585115181,5803.881525759224,7.930383774559514,5.34671976432478,67.07849140373463,13.497091075088752
Қызылорда,1,24.42776088133718,9771.673403227185,6.621960586646146,4.883916588345646,45.43692335309225,24.333912376159912
Атырау,4,11.275430481613125,6023.3582358824,7.228344826886033,2.6078861027702436,63.73682717727326,13.17731010770771
Атырау,4,15.465853662599683,4182.896534909892,7.788739509421835,2.4301643152103702,48.259607849368216,8.591506518436697
Алматы,2,16.24470116662306,9263.286675058374,8.066547190349114,3.048001365338165,44.75865489239542,20.915637057398158
Қостанай,3,28.79530069934715,5569.3001121238485,7.369549945365769,5.668374217437277,95.78351368004273,13.410223373616386
Қостанай,3,12.694878612419465,6545.541601746926,7.6781441941010256,3.307594434631487,31.585155857416815,14.39336444571079
Қостанай,3,26.462577858186645,3165.754100589575,6.5210569947754236,2.6375548040704624,70.77308860624326,7.268988243945037
Алматы,2,16.637846039658953,6793.843429235533,6.7246476176813665,5.26609377450233,37.67453170782515,15.643842933350305
Қызылорда,1,14.881189841939175,9576.175435927666,6.942748411065647,3.3512156432994304,36.68000873864561,22.2717577003431
Маңғыстау,0,26.722155967313167,6508.2704259457005,6.803992411563351,2.3866898433313697,97.70714000441971,15.507566265566911
Қызылорда,1,15.623013221125435,9603.121287437203,8.287258719254238,2.8091570779598323,28.028864698760152,22.77325988426333
Қостанай,3,19.97232540089481,7580.271143988105,8.14453704001853,2.6191320088753587,88.78366250543492,17.645984911697546
Алматы,2,25.42107072262207,4495.55497088489,7.076688792625445,3.093771180769135,39.880056977939304,10.395992898823208
Қостанай,3,20.97048390792915,6388.510667294662,8.077270365156679,5.814605360042778,43.98479643853403,14.556311368102476
Қостанай,3,18.456143868244546,8151.972383553329,7.4539075832558614,4.802797083593922,94.0944492488185,18.406170626798946
Атырау,4,28.414905395893697,3194.726495943105,6.969980996355525,2.3181774040913234,65.26306774949329,7.027791177559118
Қызылорда,1,23.69139210861951,7929.577687291335,7.9072514876996145,3.7555124697526803,92.4725445379429,18.50421119028551
Алматы,2,11.293458144297174,4036.1004667081197,8.440486822579798,3.8860888151833137,78.65378018301185,8.022147767147937
Қостанай,3,20.355932659309893,6019.304904201218,7.630350709476006,4.342616354744337,72.39821630492895,14.154341010074743
Маңғыстау,0,21.561548261794293,9988.239689766477,7.20956622418349,2.0831953986385194,27.96998648116462,23.38133495788795
Алматы,2,27.14205214450876,5320.778765939529,6.865799488762151,2.7145820067653577,32.692873209654664,12.966923292669497
Маңғыстау,0,29.89534329317612,8242.44447594899,6.5608686708248545,5.693815369604055,98.39111192430215,20.182408291838943
Маңғыстау,0,10.791756746261063,7664.604630040152,6.690181461403459,4.5007466937350875,63.854969664555625,17.82537568221248
Қызылорда,1,29.201160860702295,5007.4271001697025,7.407276825911296,2.9242988798496303,64.93867420019693,11.518885182717513
